Method,Model,Accuracy,F1_Score,ROC_AUC,Sensitivity,Specificity,Precision,Kappa
HEALTHY x BRCA
ALL,RandomForest300,0.9015151515151515,0.9089022393758153,0.9329296693060084,0.8986958546809501,0.8986958546809501,0.9269896769896768,0.666147859922179
ALL,XGBoost,0.9015151515151515,0.9089022393758153,0.9250116441546344,0.8986958546809501,0.8986958546809501,0.9269896769896768,0.666147859922179
ALL,LightGBM,0.9090909090909091,0.9126009126009126,0.952026082906381,0.8593386120167676,0.8593386120167676,0.9185190557348516,0.660813704496788
ALL,GradientBoosting,0.9015151515151515,0.9076011254093446,0.9254774103400094,0.8768048439683278,0.8768048439683278,0.9204105642784889,0.6534733441033926

PRE-BRCA x BRCA
ALL,RandomForest300,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ALL,XGBoost,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ALL,LightGBM,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ALL,GradientBoosting,0.975,0.9746758199847445,1.0,0.9583333333333333,0.9583333333333333,0.9758620689655173,0.9390243902439024

BRCA x PRE-BRCA x HEALTHY
ALL,RandomForest300,0.7531645569620253,0.7663043819228553,0.9049192665571976,0.7861247947454845,0.8702584452584453,0.8230184692281122,0.5255620572836465
ALL,XGBoost,0.7151898734177216,0.731647229755192,0.9026169073582867,0.7898193760262725,0.860495522995523,0.8169358848683743,0.4817784256559767
ALL,LightGBM,0.7468354430379747,0.7587158002282197,0.9089567281377625,0.7352216748768473,0.8459554334554334,0.7946394322976602,0.4880103694102398
ALL,GradientBoosting,0.7531645569620253,0.7632629873011928,0.8936716699647734,0.7200328407224958,0.8372761497761498,0.7875587670684328,0.48113843044796223
