Method,Model,Accuracy,F1_Score,ROC_AUC,Sensitivity,Specificity,Precision,Kappa
HEALTHY x BRCA
PSO,RandomForest300,0.9015151515151515,0.9061269328027193,0.9138332557056358,0.8549138332557056,0.8549138332557056,0.9143167789001122,0.6397984886649875
PSO,XGBoost,0.8787878787878788,0.8899348626451431,0.9296693060083837,0.8854215183977643,0.8854215183977643,0.9180434172449503,0.6104758391737366
PSO,LightGBM,0.9242424242424242,0.9257981601731603,0.959944108057755,0.8681881695388916,0.8681881695388916,0.928025428025428,0.7054886211512718
PSO,GradientBoosting,0.9015151515151515,0.9061269328027193,0.9245458779692596,0.8549138332557056,0.8549138332557056,0.9143167789001122,0.6397984886649875

PRE-BRCA x BRCA
PSO,RandomForest300,1.0,1.0,1.0,1.0,1.0,1.0,1.0
PSO,XGBoost,1.0,1.0,1.0,1.0,1.0,1.0,1.0
PSO,LightGBM,0.95,0.95,0.9255952380952381,0.9404761904761905,0.9404761904761905,0.95,0.8809523809523809
PSO,GradientBoosting,1.0,1.0,1.0,1.0,1.0,1.0,1.0

BRCA x PRE-BRCA x HEALTHY
PSO,RandomForest300,0.7468354430379747,0.7609918996367248,0.9124471513480135,0.7951559934318554,0.8676943426943428,0.8209490931009917,0.517188693659282
PSO,XGBoost,0.7088607594936709,0.7259025969219173,0.9034539773763912,0.7898193760262725,0.8528083028083028,0.806552354715368,0.46793557833089305
PSO,LightGBM,0.7468354430379747,0.7608782418421985,0.8873919343746929,0.7861247947454845,0.8620726495726497,0.8144163150492266,0.510077519379845
PSO,GradientBoosting,0.7341772151898734,0.7489335224372707,0.8775852420248972,0.7832512315270935,0.8518213268213269,0.8020035245131558,0.4866955445544555
